[02/Oct/2022 10:29:35] INFO [django.utils.autoreload:637] Watching for file changes with StatReloader
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:315] Waiting for apps ready_event.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:327] Apps ready_event triggered. Sending autoreload_started signal.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/djrichtextfield/templates with glob **/*.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/compressor/templates with glob **/*.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/rest_framework/templates with glob **/*.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/django_celery_beat/templates with glob **/*.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/templates with glob **/*.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/allauth/templates with glob **/*.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/rest_framework/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/rest_framework_simplejwt/token_blacklist/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/rest_auth/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/knox/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/django_countries/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/djrichtextfield/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/phonenumbers/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/djmoney/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/celery/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/django_celery_beat/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/django_celery_results/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/rest_auth/registration/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/allauth/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/allauth/account/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/allauth/socialaccount/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/storages/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/compressor/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/allauth/socialaccount/providers/google/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/geoip2/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/user/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/main/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/product/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/cart/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/order/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:281] Watching dir /Users/al1mardan/Desktop/my_projects/solar-panels/quoute_builder/locale with glob **/*.mo.
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /opt/homebrew/Cellar/python@3.9/3.9.13_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/enum.py first seen with mtime 1652797147.0
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/django/utils/log.py first seen with mtime 1660470152.8491108
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/setuptools/_vendor/importlib_metadata/_compat.py first seen with mtime 1660162305.4114494
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/django/contrib/postgres/fields/__init__.py first seen with mtime 1660470152.6949055
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/rest_framework/utils/json.py first seen with mtime 1660204376.1574476
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /opt/homebrew/Cellar/python@3.9/3.9.13_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/site.py first seen with mtime 1652797147.0
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/django/contrib/sessions/exceptions.py first seen with mtime 1660470152.7429497
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/setuptools/_vendor/importlib_metadata/_adapters.py first seen with mtime 1660162305.4111946
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/vine/synchronization.py first seen with mtime 1660387520.766675
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/billiard/context.py first seen with mtime 1660387520.727007
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/pkg_resources/_vendor/packaging/utils.py first seen with mtime 1660162305.39239
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/django/core/checks/translation.py first seen with mtime 1660470152.8036666
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/celery/signals.py first seen with mtime 1660387521.0308876
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/stripe/__init__.py first seen with mtime 1660994290.9237428
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/django/core/handlers/__init__.py first seen with mtime 1660470152.8057065
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/django/contrib/staticfiles/handlers.py first seen with mtime 1660470152.7995617
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/kombu/utils/objects.py first seen with mtime 1660387520.9702973
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/django/contrib/auth/backends.py first seen with mtime 1660470152.529599
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /opt/homebrew/Cellar/python@3.9/3.9.13_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/_pickle.cpython-39-darwin.so first seen with mtime 1658692971.012008
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /opt/homebrew/Cellar/python@3.9/3.9.13_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/keyword.py first seen with mtime 1652797147.0
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/django/contrib/__init__.py first seen with mtime 1660470152.4158912
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/stripe/api_resources/application_fee.py first seen with mtime 1660994290.9263918
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/django_countries/__init__.py first seen with mtime 1660307866.864817
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /opt/homebrew/Cellar/python@3.9/3.9.13_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/asyncio/transports.py first seen with mtime 1652797147.0
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/cryptography/hazmat/bindings/__init__.py first seen with mtime 1660205080.2366614
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/urllib3/util/response.py first seen with mtime 1660380524.7279952
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/rest_framework/utils/field_mapping.py first seen with mtime 1660204376.1569464
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/setuptools/config/setupcfg.py first seen with mtime 1660162305.4231434
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/stripe/api_resources/source_transaction.py first seen with mtime 1660994290.9320853
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/django/utils/translation/reloader.py first seen with mtime 1660470152.8507416
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/stripe/api_resources/balance_transaction.py first seen with mtime 1660994290.9266992
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /opt/homebrew/Cellar/python@3.9/3.9.13_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/wsgiref/util.py first seen with mtime 1652797147.0
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/django/core/serializers/jsonl.py first seen with mtime 1660470152.8118732
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/kombu/connection.py first seen with mtime 1660387520.962612
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/django/contrib/auth/middleware.py first seen with mtime 1660470152.5305297
[02/Oct/2022 10:29:35] DEBUG [django.utils.autoreload:379] File /Users/al1mardan/Desktop/my_projects/solar-panels/spenv/lib/python3.9/site-packages/phonenumbers/data/alt_format_372.py first seen with mtime 1660372174.343189
